tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/3_900s_itlimit_average_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	8.99977273	4.683701070025563	174.624768	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	8.61507504	4.5426223169779405	243.609600	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	4.927567294	2.5760279730020557	137.326592	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.69899432	3.008004734001588	130.719744	22	23	26
reducercommutativity/avg.yml	true	unknown	6.089144053	3.17275245001656	145.223680	40	42	48
reducercommutativity/max.yml	true	unknown	8.9150775	4.6337961130193435	228.179968	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.601707585	4.440876773005584	167.555072	163	770	882
reducercommutativity/max10-1.yml	true	unknown	10.265707379	5.311050938995322	234.397696	298	1040	1182
reducercommutativity/max20-1.yml	true	unknown	12.200742983	6.307609968993347	265.527296	568	1580	1782
reducercommutativity/max40-1.yml	true	unknown	18.024647486	9.242644612008007	376.033280	1108	2660	2982
reducercommutativity/max60-2.yml	true	unknown	22.759074714	11.774836240016157	548.237312	1648	3740	4182
reducercommutativity/rangesum05.yml	false	false(unreach-call)	9.065408742	4.730959883017931	185.434112	142	401	434
reducercommutativity/rangesum10.yml	false	false(unreach-call)	10.757878216	5.536340516991913	241.401856	244	605	638
reducercommutativity/rangesum20.yml	false	false(unreach-call)	13.849076218	7.181277597992448	326.582272	454	1025	1058
reducercommutativity/rangesum40.yml	false	false(unreach-call)	20.124418564	10.256234746979317	509.435904	874	1865	1898
reducercommutativity/rangesum60.yml	false	false(unreach-call)	23.21055546	12.074106989020947	691.933184	1294	2705	2738
reducercommutativity/sep05-1.yml	true	unknown	115.730944695	58.48324438399868	4360.646656	7353	15191	16536
reducercommutativity/sum.yml	true	unknown	9.233881532	4.820183328993153	225.304576	131	281	328
array-tiling/mbpr2.yml	true	unknown	5.396454655	2.8641323030169588	139.300864	54	104	121
array-tiling/mbpr3.yml	true	unknown	5.456318003	2.913017115002731	147.390464	64	124	145
array-tiling/mbpr4.yml	true	unknown	6.644247926	3.488031349988887	137.400320	74	144	169
