tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/4_700s_noitlimit_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	10.009802841	5.1774145560048055	173.756416	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	7.871886165	4.271187865990214	204.177408	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	4.132473521	2.1929425659764092	137.814016	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.28373479	2.772486856993055	135.032832	22	23	26
reducercommutativity/avg.yml	true	unknown	6.087655271	3.204678876994876	136.257536	40	42	48
reducercommutativity/max.yml	true	unknown	9.596645246	4.981764580006711	204.398592	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.850453668	4.683426812000107	178.274304	163	770	882
reducercommutativity/max10-1.yml	true	unknown	10.511050712	5.443494559993269	236.810240	298	1040	1182
reducercommutativity/max20-1.yml	true	unknown	13.223337909	6.854707266000332	287.313920	568	1580	1782
reducercommutativity/max40-1.yml	true	unknown	17.945376006	9.228098109015264	321.515520	1108	2660	2982
reducercommutativity/max60-2.yml	true	unknown	22.945889113	11.766113865014631	527.237120	1648	3740	4182
reducercommutativity/rangesum05.yml	false	false(unreach-call)	9.168618407	4.77088826202089	182.448128	142	401	434
reducercommutativity/rangesum10.yml	false	false(unreach-call)	10.892561095	5.615272422990529	239.820800	244	605	638
reducercommutativity/rangesum20.yml	false	false(unreach-call)	13.628149329	7.0767231909849215	336.666624	454	1025	1058
reducercommutativity/rangesum40.yml	false	false(unreach-call)	17.77527197	9.18809106000117	452.468736	874	1865	1898
reducercommutativity/rangesum60.yml	false	false(unreach-call)	21.931832558	11.3189384410216	582.701056	1294	2705	2738
