tool		CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171	CPAchecker trunk:43171
run set		integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value
../programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	Solving time	Number of variables per state	Number of global variables per state	Number of assumptions	Number of deterministic assumptions	Level of Determinism (%)	Replaced symbolic expressions	Number of states	Automaton transfers with branching	Automaton transfer successors	Number of states with assumption transitions	Max size of waitlist	Average size of waitlist	Number of computed successors	Max successors for one state	Number of times merged	Number of times stopped	Number of times breaked	Number of refinements	Number of targets found	Number of root relocations	Number of similar, repeated refinements	Number of unique precision increments	Total number of targets found	Number of interpolations	Number of interpolation queries	Size of interpolant	Number of sliced prefixes	Number of CEGAR refinements	Number of successful refinements	Number of failed refinements	Max. size of reached set before ref.	Max. size of reached set after ref.	Avg. size of reached set before ref.	Avg. size of reached set after ref.	Number of counterexample checks	Function coverage	Visited lines	Total lines	Line coverage	Visited conditions	Total conditions	Condition coverage	Number of program locations	Number of CFA edges (per node)	Number of relevant variables	Number of functions	Number of loops (and loop nodes)	Number of reached locations	Avg states per location	Max states per location	Number of reached functions	Number of partitions	Avg size of partitions	Max size of partitions	Number of target states
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	973.162137021	946.4125785329379	7499.997184	121722	121751	121757		1.00	0.00	162304	0	0	0	1	0	1.00		4	1	121757	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	34	1	34.00	1.00	0	0.200	8	39	0.205	1	22	0.045	96	106	19	5	8	6	20287	40573	1	6	20287	40573	0
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	965.421300585	939.8618963870686	7499.997184	123015	123044	123050		1.00	0.00	164028	0	0	0	1	0	1.00		4	1	123050	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	34	1	34.00	1.00	0	0.200	8	39	0.205	1	22	0.045	96	106	19	5	8	6	20502	41004	1	6	20502	41004	0
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	963.935726854	940.8169545792043	7499.997184	122329	122358	122364		1.00	0.00	163112	0	0	0	1	0	1.00		4	1	122364	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	34	1	34.00	1.00	0	0.200	8	44	0.182	1	26	0.038	107	121	19	5	10	6	20388	40776	1	6	20388	40776	0
array-examples/relax-2-2.yml	true	TIMEOUT	901.368846434	825.2278285771608	377.851904	79	135	164		0.43	0.00	78	0	0	0	1	0	0.99		8	3	164	2	0	21	2	2	2	0	0	1	0	1	2	0.08	1	2	1	0	79	1	72.50	1.00	1	0.714	379	382	0.992	34	46	0.739	387	413	24	7	5	66	1	2	5	77	1	2	1
array-examples/sanfoundry_02_ground.yml	true	TIMEOUT	990.881118613	951.4522432489321	7499.997184	126585	126620	126628		1.00	0.00	168792	0	0	0	1	0	1.00		4	1	126628	2	0	5	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	40	1	40.00	1.00	0	0.333	9	37	0.243	1	20	0.050	78	85	10	3	4	6	21097	42194	1	6	21097	42194	0
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	971.068923278	945.5785274959635	7499.997184	109347	109423	109437		3.00	0.00	145848	0	0	0	1	0	1.00		5	1	109437	2	0	12	2	2	2	0	0	2	0	2	5	0.31	7	2	2	0	44	1	40.50	1.00	0	0.333	10	31	0.323	1	18	0.056	64	69	10	3	4	6	18224	36448	1	6	18224	36448	0
array-examples/sanfoundry_24-1.yml	true	unknown	6.904776386	3.735978184035048	218.181632	42	44	50		0.00	0.00	14	0	0	0	1	0	1.00		4	2	50	2	0	5	2	2	2	0	0	0	0	0	0	0.00	0	2	0	0	41	0	37.50	NaN	2	0.800	25	26	0.962	12	12	1.000	65	70	10	5	3	37	1	2	4	42	1	1	0
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	973.334415162	943.3959970409051	7499.997184	123641	123665	123669		1.00	0.00	164862	0	0	0	1	0	1.00		3	1	123669	2	0	3	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	27	1	27.00	1.00	0	0.333	6	19	0.316	1	10	0.100	53	53	7	3	3	6	20606	41213	1	6	20606	41213	0
array-examples/sanfoundry_43_ground.yml	true	true	4.567962727	2.390582658816129	141.582336	21	21	23		0.00	0.00	6	0	0	0	1	0	1.00		2	1	23	2	0	3	0	0	0	0	0	0	0	0	0	0.00	0	0							0	0.500	15	17	0.882	6	8	0.750	56	54	8	4	3	21	1	1	2	21	1	1	0
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	965.103565954	941.9858184908517	7499.997184	123153	123227	123240		1.00	0.00	164238	0	0	0	1	0	1.00		5	1	123240	2	0	11	2	2	2	0	0	2	0	2	3	0.27	4	2	2	0	43	1	39.50	1.00	0	0.333	5	26	0.192	1	14	0.071	65	67	10	3	5	6	20525	41050	1	6	20525	41050	0
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	960.679364714	934.8601011391729	7499.997184	117090	117164	117177		1.00	0.00	156154	0	0	0	1	0	1.00		5	1	117177	2	0	11	2	2	2	0	0	2	0	2	3	0.27	4	2	2	0	43	1	39.50	1.00	0	0.333	5	26	0.192	1	14	0.071	65	67	10	3	5	6	19515	39029	1	6	19515	39029	0
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	970.059946295	942.5157146169804	7499.997184	117967	118041	118054		1.00	0.00	157322	0	0	0	1	0	1.00		5	1	118054	2	0	11	2	2	2	0	0	2	0	2	3	0.27	4	2	2	0	43	1	39.50	1.00	0	0.333	5	26	0.192	1	14	0.071	65	67	10	3	5	6	19661	39322	1	6	19661	39322	0
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	962.903511541	937.9885424519889	7499.997184	118394	118442	118452		1.00	0.00	157878	0	0	0	1	0	1.00		6	1	118452	2	0	5	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	55	1	55.00	1.00	0	0.333	8	37	0.216	1	22	0.045	86	96	10	3	8	6	19732	39464	1	6	19732	39464	0
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	964.005664042	938.8012583730742	7499.997184	131231	131279	131289		1.00	0.00	174994	0	0	0	1	0	1.00		6	1	131289	2	0	5	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	55	1	55.00	1.00	0	0.333	8	37	0.216	1	22	0.045	86	96	11	3	8	6	21871	43743	1	6	21871	43743	0
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	978.150342907	947.5922783520073	7499.997184	127703	127751	127761		1.00	0.00	170290	0	0	0	1	0	1.00		6	1	127761	2	0	5	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	55	1	55.00	1.00	0	0.333	8	37	0.216	1	22	0.045	86	96	11	3	8	6	21283	42567	1	6	21283	42567	0
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	981.442224757	945.0569475970697	7499.997184	124198	124236	124245		1.00	0.00	165612	0	0	0	1	0	1.00		4	1	124245	2	0	8	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	41	1	41.00	1.00	0	0.333	7	26	0.269	1	20	0.050	69	74	9	3	5	6	20699	41399	1	6	20699	41399	0
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	970.952462174	943.8603369279299	7499.997184	126801	126872	126887		2.00	0.00	169104	0	0	0	1	0	1.00		5	1	126887	2	0	8	2	2	2	0	0	2	0	2	8	0.58	5	2	2	0	42	1	40.50	1.00	0	0.333	9	25	0.360	1	14	0.071	64	68	10	3	4	6	21133	42266	1	6	21133	42266	0
array-examples/standard_compare_ground.yml	true	TIMEOUT	986.088893486	946.7767305281013	7499.997184	125331	125357	125362		1.00	0.00	167116	0	0	0	1	0	1.00		4	1	125362	2	0	4	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	29	1	29.00	1.00	0	0.333	6	20	0.300	1	12	0.083	56	57	9	3	3	6	20888	41776	1	6	20888	41776	0
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	971.054088062	938.5116331200115	7499.997184	119597	119618	119621		1.00	0.00	159468	0	0	0	1	0	1.00		2	1	119621	2	0	2	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	24	1	24.00	1.00	0	0.333	6	17	0.353	1	8	0.125	52	51	8	3	3	6	19932	39865	1	6	19932	39865	0
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	971.098020068	940.6618580408394	7499.997184	131023	131044	131047		1.00	0.00	174700	0	0	0	1	0	1.00		2	1	131047	2	0	2	1	1	1	0	0	1	0	1	1	0.25	2	1	1	0	24	1	24.00	1.00	0	0.333	7	18	0.389	1	8	0.125	53	52	8	3	3	6	21837	43674	1	6	21837	43674	0
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	960.37466289	935.215597369941	7499.997184	136992	137018	137022		1.00	0.00	182662	0	0	0	1	0	1.00		2	1	137022	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	29	1	29.00	1.00	0	0.333	8	22	0.364	1	10	0.100	60	60	9	3	4	6	22832	45663	1	6	22832	45663	0
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	972.992506213	946.8703850680031	7499.997184	117599	117625	117629		1.00	0.00	156806	0	0	0	1	0	1.00		2	1	117629	2	0	3	1	1	1	0	0	1	0	1	1	0.25	3	1	1	0	29	1	29.00	1.00	0	0.333	7	21	0.333	1	10	0.100	59	59	9	3	4	6	19599	39199	1	6	19599	39199	0
