tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value	integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/2_safetyzone_creation/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	980.423254338	950.3975389600091	7499.997184	114618	114647	114653
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	974.236818723	945.8427420110092	7499.997184	119889	119918	119924
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	962.117984823	939.340166435024	7499.997184	131891	131920	131926
array-examples/relax-2.yml	true	unknown	9.890448416	5.094855592993554	173.060096	101	151	187
array-examples/sanfoundry_02_ground.yml	true	TIMEOUT	970.707293516	942.8268505909946	7499.997184	120083	120118	120126
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	964.16379883	938.2914826100168	7499.997184	117025	117101	117115
array-examples/sanfoundry_24-1.yml	true	unknown	8.001107551	4.337062153994339	219.594752	42	44	50
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	978.540472362	946.985061963991	7499.997184	126427	126451	126455
array-examples/sanfoundry_43_ground.yml	true	true	4.304804513	2.2807691149937455	139.399168	21	21	23
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	990.567280461	951.809155075025	7499.997184	122393	122467	122480
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	963.976276575	933.3095707989996	7499.997184	112670	112744	112757
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	981.24323146	945.733794772008	7499.997184	113742	113816	113829
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	969.044189603	940.0808376779896	7499.997184	125879	125927	125937
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	964.177819301	938.3294045569783	7499.997184	136403	136451	136461
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	969.89527749	942.2693886390189	7499.997184	120742	120790	120800
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	980.718512447	943.1205062740191	7499.997184	115088	115126	115135
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	978.87826013	950.4460284420056	7499.997184	120245	120316	120331
array-examples/standard_compare_ground.yml	true	TIMEOUT	959.286759132	934.938481345016	7499.997184	129392	129418	129423
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	983.746362695	946.0136623859871	7499.997184	123770	123791	123794
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	972.515611423	943.4733478909766	7499.997184	124473	124494	124497
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	950.721114916	924.3680890700198	7499.997184	123827	123853	123857
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	994.899957739	954.1881026700139	7499.997184	116150	116176	116180
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	981.679458664	946.7290380999912	7499.997184	119699	119730	119735
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	985.015908617	945.0249017729948	7499.997184	133144	133175	133180
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	973.202512843	944.2623643420229	7499.997184	125081	125117	125123
array-examples/standard_copy4_ground-2.yml	false	TIMEOUT	996.715076956	954.7482812480011	7499.997184	120118	120154	120160
array-examples/standard_copy5_ground-1.yml	true	TIMEOUT	963.95465418	937.204614096001	7499.997184	128893	128934	128941
array-examples/standard_copy5_ground-2.yml	false	TIMEOUT	975.106665637	944.4835810249788	7499.997184	123245	123286	123293
array-examples/standard_copy6_ground-1.yml	false	TIMEOUT	964.686794755	941.9017418870062	7499.997184	122347	122393	122401
array-examples/standard_copy6_ground-2.yml	true	TIMEOUT	965.35107783	942.0591779329989	7499.997184	119645	119691	119699
array-examples/standard_copy7_ground-1.yml	false	TIMEOUT	964.698239771	940.0395301529788	7499.997184	124071	124122	124131
array-examples/standard_copy7_ground-2.yml	true	TIMEOUT	985.365867948	947.8693851590215	7499.997184	117284	117335	117344
array-examples/standard_copy8_ground-1.yml	true	TIMEOUT	978.366564988	945.5892175929912	7499.997184	131310	131366	131376
array-examples/standard_copy8_ground-2.yml	false	TIMEOUT	964.365593818	940.8012226580177	7499.997184	126056	126112	126122
array-examples/standard_copy9_ground-1.yml	false	TIMEOUT	964.256115713	938.0511934269744	7499.997184	129437	129498	129509
array-examples/standard_copy9_ground-2.yml	true	TIMEOUT	983.0014572	945.9520891430147	7499.997184	128951	129012	129023
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	990.604522871	950.3904838050075	7499.997184	115025	115051	115055
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	985.500405796	949.1399265250075	7499.997184	120497	120523	120527
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	1001.518672303	955.220797394024	7499.997184	130472	130503	130508
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	971.26956827	943.5986906950129	7499.997184	120155	120181	120185
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	964.254318272	935.895647879981	7499.997184	117759	117780	117783
array-examples/standard_find_ground-1.yml	true	TIMEOUT	975.51109507	948.891334288026	7499.997184	116376	116397	116401
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	958.004972023	934.1338217779994	7499.997184	130501	130517	130519
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	972.885395302	945.6772545609856	7499.997184	123840	123856	123858
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	970.698727674	943.8613065129903	7499.997184	127249	127270	127273
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	963.69090863	935.9962846350099	7499.997184	125902	125923	125926
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	968.154474441	942.2005465330149	7499.997184	119647	119673	119677
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	966.356148656	939.3955381280102	7499.997184	123295	123322	123325
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	978.133440377	940.8368860810006	7499.997184	120807	120838	120843
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	975.391200467	941.3448315819842	7499.997184	111471	111502	111507
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	985.814195373	949.3933930810017	7499.997184	130747	130783	130789
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	984.732638937	949.2643796800112	7499.997184	117381	117417	117423
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	971.884931808	945.0632814950077	7499.997184	118388	118429	118436
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	968.444605792	938.7762716490251	7499.997184	125649	125690	125697
array-examples/standard_init7_ground-1.yml	false	TIMEOUT	970.805672951	943.777739453013	7499.997184	117679	117725	117733
array-examples/standard_init7_ground-2.yml	true	TIMEOUT	966.395646632	940.1945809049939	7499.997184	122598	122644	122652
array-examples/standard_init8_ground-1.yml	false	TIMEOUT	956.465996197	930.0786449250008	7499.997184	123089	123140	123149
array-examples/standard_init8_ground-2.yml	true	TIMEOUT	971.101680611	944.7744148669881	7499.997184	128190	128241	128250
array-examples/standard_init9_ground-1.yml	false	TIMEOUT	966.099513664	940.9516275619972	7499.997184	120464	120520	120530
array-examples/standard_init9_ground-2.yml	true	TIMEOUT	959.982810356	936.0873715989874	7499.997184	117719	117775	117785
array-examples/standard_maxInArray_ground.yml	true	TIMEOUT	963.785906048	940.3838491319912	7499.997184	125743	125767	125771
array-examples/standard_minInArray_ground-1.yml	false	TIMEOUT	966.328956657	941.0204346890096	7499.997184	123421	123445	123449
array-examples/standard_minInArray_ground-2.yml	true	TIMEOUT	975.559294881	942.1106802080176	7499.997184	124016	124040	124044
array-examples/standard_palindrome_ground.yml	true	TIMEOUT	968.465520009	941.7434087140136	7499.997184	127866	127887	127890
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	962.770477703	936.9749048720114	7499.997184	124697	124724	124730
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	986.943899233	948.6210153939901	7499.997184	145800	145831	166666
array-examples/standard_partition_ground-2.yml	true	TIMEOUT	979.25181733	947.3132834179851	7499.997184	122028	122059	122065
array-examples/standard_partition_original_ground.yml	true	TIMEOUT	971.868330191	943.0430583720154	7499.997184	125315	125343	125349
array-examples/standard_password_ground.yml	true	TIMEOUT	976.797196559	946.7550141510146	7499.997184	128490	128516	128521
