tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value	r_900s_itlimit_average_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/3_900s_itlimit_average_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	8.99977273	4.683701070025563	174.624768	101	151	187	unknown	8.47542999	4.368189697008347	173.326336	101	151	187	unknown	8.307010425	4.351213749003364	172.408832	101	151	187	unknown	7.786287062	4.065001529001165	158.244864	101	151	187	unknown	8.223474215	4.250594076002017	165.339136	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	8.61507504	4.5426223169779405	243.609600	42	44	50	unknown	8.308190225	4.545099948998541	236.253184	42	44	50	unknown	9.914300209	5.332365270995069	210.341888	42	44	50	unknown	8.810435516	4.654130771989003	216.186880	42	44	50	unknown	10.064100952	5.341172628017375	231.645184	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	4.927567294	2.5760279730020557	137.326592	21	21	23	true	4.312347227	2.2839320010098163	121.118720	21	21	23	true	4.206894684	2.247008887003176	137.535488	21	21	23	true	4.974945629	2.632795528974384	138.194944	21	21	23	true	4.867041089	2.564686008990975	139.345920	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.69899432	3.008004734001588	130.719744	22	23	26	unknown	5.489232993	2.9226337649743073	136.642560	22	23	26	unknown	5.111302589	2.7267267489805818	132.571136	22	23	26	unknown	5.245994835	2.778755776991602	137.445376	22	23	26	unknown	5.354829212	2.863705806026701	141.496320	22	23	26
reducercommutativity/avg.yml	true	unknown	6.089144053	3.17275245001656	145.223680	40	42	48	unknown	6.973404093	3.6440932620025706	126.849024	40	42	48	unknown	6.091465665	3.1920298489858396	151.846912	40	42	48	unknown	6.691193083	3.5158479389792774	134.713344	40	42	48	unknown	6.214639147	3.2881310480006505	143.622144	40	42	48
reducercommutativity/max.yml	true	unknown	8.9150775	4.6337961130193435	228.179968	187	353	420	unknown	9.284989193	4.84641996800201	200.159232	187	353	420	unknown	10.132980804	5.24155945397797	228.777984	187	353	420	unknown	9.729786823	5.037428281008033	226.131968	187	353	420	unknown	11.38362977	5.875163429998793	227.536896	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.601707585	4.440876773005584	167.555072	163	770	882	unknown	8.638024438	4.518364314979408	164.716544	163	770	882	unknown	9.778539553	5.055233945022337	177.385472	163	770	882	unknown	8.619127456	4.480126303009456	176.263168	163	770	882	unknown	9.142535796	4.730805196973961	187.985920	163	770	882
reducercommutativity/max10-1.yml	true	unknown	10.265707379	5.311050938995322	234.397696	298	1040	1182	unknown	10.321641671	5.347895973012783	211.931136	298	1040	1182	unknown	11.213843745	5.783668238989776	208.076800	298	1040	1182	unknown	10.617876767	5.503942535986425	213.639168	298	1040	1182	unknown	10.906829849	5.633227694983361	238.137344	298	1040	1182
