tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/4_700s_noitlimit_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	10.009802841	5.1774145560048055	173.756416	101	151	187	unknown	8.298092855	4.326547136995941	177.315840	101	151	187	unknown	8.901073958	4.608545766008319	173.969408	101	151	187	unknown	8.703346913	4.535192882001866	178.155520	101	151	187	unknown	8.257846381	4.2778619970194995	172.822528	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	7.871886165	4.271187865990214	204.177408	42	44	50	unknown	8.54380155	4.5405095589812845	221.880320	42	44	50	unknown	8.142184686	4.3960396659967955	233.660416	42	44	50	unknown	9.835699357	5.221628533006879	237.383680	42	44	50	unknown	8.108751428	4.407704401994124	221.650944	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	4.132473521	2.1929425659764092	137.814016	21	21	23	true	4.15929906	2.249708940013079	131.850240	21	21	23	true	4.453036248	2.3708864059881307	136.495104	21	21	23	true	4.169207823	2.2311071819858626	143.589376	21	21	23	true	4.506035261	2.380179660016438	138.387456	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.28373479	2.772486856993055	135.032832	22	23	26	unknown	5.915413632	3.111455181002384	141.533184	22	23	26	unknown	5.358751661	2.8421092340140603	130.805760	22	23	26	unknown	4.880702655	2.561739253986161	136.822784	22	23	26	unknown	5.092991404	2.7270413560036104	137.998336	22	23	26
reducercommutativity/avg.yml	true	unknown	6.087655271	3.204678876994876	136.257536	40	42	48	unknown	6.089764458	3.214488725992851	141.799424	40	42	48	unknown	6.045790395	3.1653387300029863	132.497408	40	42	48	unknown	5.93344666	3.108219707995886	141.725696	40	42	48	unknown	5.760777792	3.030305132007925	140.337152	40	42	48
reducercommutativity/max.yml	true	unknown	9.596645246	4.981764580006711	204.398592	187	353	420	unknown	9.276214332	4.804631110018818	208.273408	187	353	420	unknown	9.267616443	4.853415813995525	225.693696	187	353	420	unknown	10.36022468	5.411069625988603	230.850560	187	353	420	unknown	9.2863888	4.828783659002511	217.743360	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.850453668	4.683426812000107	178.274304	163	770	882	unknown	9.061984781	4.685615005000727	176.480256	163	770	882	unknown	9.17452819	4.761004053987563	176.947200	163	770	882	unknown	8.753334555	4.5596739719912875	172.814336	163	770	882	unknown	8.690243638	4.517840068991063	177.418240	163	770	882
reducercommutativity/max10-1.yml	true	unknown	10.511050712	5.443494559993269	236.810240	298	1040	1182	unknown	10.481345293	5.414317699993262	211.955712	298	1040	1182	unknown	10.733965699	5.568853914010106	213.348352	298	1040	1182	unknown	10.739906555	5.556143410998629	213.061632	298	1040	1182	unknown	10.955685044	5.659471129998565	237.346816	298	1040	1182
