tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/5_900s_itlimit_max_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	9.054829168	4.654101996000463	170.790912	101	151	187	unknown	7.787009051	4.038900545998331	171.241472	101	151	187	unknown	8.150688347	4.234581872005947	162.000896	101	151	187	unknown	7.805100486	4.03987985898857	166.998016	101	151	187	unknown	7.914762373	4.0960746579949046	158.466048	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	8.869813942	4.62597856299908	232.083456	42	44	50	unknown	7.861363152	4.209525600999768	236.572672	42	44	50	unknown	9.074454223	4.829848013992887	238.317568	42	44	50	unknown	7.811412821	4.251102241003537	222.134272	42	44	50	unknown	8.884551955	4.645487696994678	240.414720	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	5.192068267	2.7328910149990406	144.330752	21	21	23	true	3.947550326	2.127033206001215	114.888704	21	21	23	true	4.200143333	2.2178568719973555	142.966784	21	21	23	true	4.343134929	2.337485023002955	137.437184	21	21	23	true	4.211286076	2.32056375699176	138.838016	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.61423414	2.9665649739999935	139.968512	22	23	26	unknown	5.010429733	2.6344196289974207	136.929280	22	23	26	unknown	5.409109971	2.861425513998256	140.754944	22	23	26	unknown	5.509496048	2.9257940120005514	131.620864	22	23	26	unknown	5.335869567	2.809923117994913	140.247040	22	23	26
reducercommutativity/avg.yml	true	unknown	6.137436384	3.2236553080001613	134.660096	40	42	48	unknown	7.362392126	3.8301499459994375	139.632640	40	42	48	unknown	6.685818275	3.509313217989984	138.375168	40	42	48	unknown	6.353033453	3.3111305219936185	142.073856	40	42	48	unknown	6.085357509	3.216295555990655	137.068544	40	42	48
reducercommutativity/max.yml	true	unknown	11.446617053	5.902900951999982	219.422720	187	353	420	unknown	8.98159994	4.662403924998216	225.918976	187	353	420	unknown	9.536074024	4.934798298010719	225.685504	187	353	420	unknown	9.642466005	5.031432264004252	206.057472	187	353	420	unknown	8.972330316	4.661558797000907	205.451264	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.993083645	4.733100646999446	179.372032	163	770	882	unknown	8.38319007	4.357835692000663	177.270784	163	770	882	unknown	9.175140737	4.773613302997546	178.360320	163	770	882	unknown	8.903229671	4.674657591996947	185.548800	163	770	882	unknown	8.966336277	4.676292905001901	180.834304	163	770	882
reducercommutativity/max10-1.yml	true	unknown	11.783481956	6.045553657999335	220.823552	298	1040	1182	unknown	10.867979163	5.6203036999977485	237.260800	298	1040	1182	unknown	10.703546905	5.593092109003919	219.193344	298	1040	1182	unknown	10.865282224	5.626035770008457	206.233600	298	1040	1182	unknown	10.823150358	5.65548162900086	213.467136	298	1040	1182
reducercommutativity/max20-1.yml	true	unknown	13.008729616	6.717799398998977	262.725632	568	1580	1782	unknown	12.21122349	6.303497770000831	276.451328	568	1580	1782	unknown	13.263395901	6.866952702999697	244.224000	568	1580	1782	unknown	12.375253537	6.33882346500468	279.523328	568	1580	1782	unknown	13.534914656	7.00435129799007	274.563072	568	1580	1782
reducercommutativity/max40-1.yml	true	unknown	16.616639177	8.515416936999827	332.488704	1108	2660	2982	unknown	16.974502788	8.682479888997477	379.211776	1108	2660	2982	unknown	18.290240519	9.340102852002019	316.506112	1108	2660	2982	unknown	18.443807297	9.502080467995256	343.977984	1108	2660	2982	unknown	18.947534845	9.697592967000674	336.244736	1108	2660	2982
reducercommutativity/max60-2.yml	true	unknown	21.845145702	11.321154778999698	532.697088	1648	3740	4182	unknown	19.898883394	10.298190587996942	595.451904	1648	3740	4182	unknown	22.959679049	11.873240565008018	593.666048	1648	3740	4182	unknown	23.522551262	12.009308544991654	548.917248	1648	3740	4182	unknown	23.254877404	12.00606965800398	561.205248	1648	3740	4182
reducercommutativity/rangesum05.yml	false	false(unreach-call)	8.657074778	4.4895023240005685	183.525376	142	401	434	false(unreach-call)	8.613283893	4.452349339000648	194.248704	142	401	434	false(unreach-call)	9.645108478	5.051549140000134	204.500992	142	401	434	false(unreach-call)	8.787933637	4.576732219997211	188.280832	142	401	434	false(unreach-call)	8.966971743	4.622301163006341	205.144064	142	401	434
reducercommutativity/rangesum10.yml	false	false(unreach-call)	10.85818095	5.635777016999782	234.110976	244	605	638	false(unreach-call)	11.790691797	6.048780447999889	238.592000	244	605	638	false(unreach-call)	11.236590156	5.793710330995964	239.955968	244	605	638	false(unreach-call)	10.878014576	5.620096034006565	239.538176	244	605	638	false(unreach-call)	10.199179042	5.262604290997842	244.113408	244	605	638
reducercommutativity/rangesum20.yml	false	false(unreach-call)	14.664568441	7.537549992001004	351.596544	454	1025	1058	false(unreach-call)	12.623093086	6.495954039000935	317.476864	454	1025	1058	false(unreach-call)	14.275166704	7.384624148995499	313.782272	454	1025	1058	false(unreach-call)	14.163924726	7.310234597011004	337.289216	454	1025	1058	false(unreach-call)	16.705006879	8.605752611998469	343.236608	454	1025	1058
reducercommutativity/rangesum40.yml	false	false(unreach-call)	17.30953468	8.898142808999182	496.947200	874	1865	1898	false(unreach-call)	18.852660578	9.758423437000602	503.619584	874	1865	1898	false(unreach-call)	18.380740269	9.47265465799137	470.671360	874	1865	1898	false(unreach-call)	19.297372264	9.949107321997872	469.348352	874	1865	1898	false(unreach-call)	18.881411342	9.67181012799847	501.047296	874	1865	1898
reducercommutativity/rangesum60.yml	false	false(unreach-call)	22.020743242	11.439738832999865	612.786176	1294	2705	2738	false(unreach-call)	23.981531232	12.204866338001011	678.465536	1294	2705	2738	false(unreach-call)	23.402983515	12.150631848009652	632.233984	1294	2705	2738	false(unreach-call)	22.677944098	11.75913563600625	572.977152	1294	2705	2738	false(unreach-call)	24.331354776	12.732849617998	568.123392	1294	2705	2738
reducercommutativity/sep05-1.yml	true	unknown	109.2933116	55.13990947300044	4250.796032	7353	15191	16536	unknown	111.306566207	56.11121277399798	4168.134656	7353	15191	16536	unknown	109.065184404	55.120264519995544	4147.314688	7353	15191	16536	unknown	122.119422408	61.84257519400853	4452.294656	7353	15191	16536	unknown	133.736393498	67.36243127699709	4475.363328	7353	15191	16536
reducercommutativity/sum.yml	true	unknown	9.073447681	4.709425867000391	197.644288	131	281	328	unknown	8.623101354	4.459334780000063	195.792896	131	281	328	unknown	9.411657776	4.896361060003983	223.748096	131	281	328	unknown	9.180836146	4.773200484996778	225.939456	131	281	328	unknown	9.59039283	4.981931454996811	202.641408	131	281	328
array-tiling/mbpr2.yml	true	unknown	5.867673573	3.071809630999269	142.479360	54	104	121	unknown	6.549460153	3.4283533730013005	147.189760	54	104	121	unknown	5.450348598	2.870205237006303	144.314368	54	104	121	unknown	5.967136414	3.1765051010006573	138.629120	54	104	121	unknown	6.323005328	3.3012105109955883	137.543680	54	104	121
array-tiling/mbpr3.yml	true	unknown	5.632664451	2.952438563999749	141.828096	64	124	145	unknown	6.047310384	3.1675295130007726	151.994368	64	124	145	unknown	5.796763847	3.0789014360052533	138.563584	64	124	145	unknown	5.531612429	2.91374430101132	140.582912	64	124	145	unknown	5.878515183	3.0907602130027954	143.720448	64	124	145
array-tiling/mbpr4.yml	true	unknown	5.544825577	2.917571718000545	139.591680	74	144	169	unknown	5.654752364	2.950970359997882	137.363456	74	144	169	unknown	5.722284108	3.0234888779959874	138.240000	74	144	169	unknown	5.956900715	3.114024636990507	139.091968	74	144	169	unknown	6.015872033	3.144584716006648	147.042304	74	144	169
array-tiling/mbpr5.yml	true	unknown	6.142271662	3.2068235330007155	152.911872	84	164	193	unknown	6.674027841	3.4910781539983873	145.043456	84	164	193	unknown	6.255498858	3.2987899870058754	153.960448	84	164	193	unknown	6.086712482	3.2022857170086354	140.996608	84	164	193	unknown	6.03266063	3.2013641810044646	141.287424	84	164	193
array-tiling/mlceu.yml	false	unknown	5.311832427	2.76607804699961	149.270528	33	34	38	unknown	5.345439479	2.8329396250010177	136.355840	33	34	38	unknown	4.978298931	2.6193458339985227	140.488704	33	34	38	unknown	5.851693873	3.1678098639968084	149.368832	33	34	38	unknown	5.412291438	2.9066592740127817	130.449408	33	34	38
array-tiling/mlceu2.yml	true	unknown	5.308118125	2.818749050000406	135.352320	28	29	34	unknown	5.885327345	3.1130359080016206	141.271040	28	29	34	unknown	5.194735327	2.7418273060029605	136.257536	28	29	34	unknown	5.167832398	2.7341678539960412	136.626176	28	29	34	unknown	5.592649289	2.963727997004753	137.273344	28	29	34
array-tiling/nr2.yml	true	unknown	6.351254594	3.3489971549988695	138.719232	49	94	109	unknown	5.229151892	2.726375979000295	139.718656	49	94	109	unknown	5.869101636	3.1792992950067855	138.235904	49	94	109	unknown	5.783224772	3.1453196340007707	136.081408	49	94	109	unknown	5.405087059	2.8946741899999324	138.686464	49	94	109
array-tiling/nr3.yml	true	unknown	5.475840408	2.9449197520007147	142.553088	49	94	109	unknown	5.712671396	2.998231544999726	151.207936	49	94	109	unknown	5.733220024	3.0682255660067312	144.080896	49	94	109	unknown	5.46234419	2.8826492549997056	143.335424	49	94	109	unknown	5.849140131	3.1137436179997167	151.769088	49	94	109
array-tiling/nr4.yml	true	unknown	5.106344297	2.72737514399887	144.080896	49	94	109	unknown	5.826930119	3.0592197840014705	139.501568	49	94	109	unknown	5.364708634	2.8043116760090925	142.598144	49	94	109	unknown	5.408710958	2.8919403680047253	132.640768	49	94	109	unknown	5.261539415	2.7770657200017013	143.921152	49	94	109
