tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value	r_900s_itlimit_max_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/5_900s_itlimit_max_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	9.054829168	4.654101996000463	170.790912	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	8.869813942	4.62597856299908	232.083456	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	5.192068267	2.7328910149990406	144.330752	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	5.61423414	2.9665649739999935	139.968512	22	23	26
reducercommutativity/avg.yml	true	unknown	6.137436384	3.2236553080001613	134.660096	40	42	48
reducercommutativity/max.yml	true	unknown	11.446617053	5.902900951999982	219.422720	187	353	420
reducercommutativity/max05-1.yml	true	unknown	8.993083645	4.733100646999446	179.372032	163	770	882
reducercommutativity/max10-1.yml	true	unknown	11.783481956	6.045553657999335	220.823552	298	1040	1182
reducercommutativity/max20-1.yml	true	unknown	13.008729616	6.717799398998977	262.725632	568	1580	1782
reducercommutativity/max40-1.yml	true	unknown	16.616639177	8.515416936999827	332.488704	1108	2660	2982
reducercommutativity/max60-2.yml	true	unknown	21.845145702	11.321154778999698	532.697088	1648	3740	4182
reducercommutativity/rangesum05.yml	false	false(unreach-call)	8.657074778	4.4895023240005685	183.525376	142	401	434
reducercommutativity/rangesum10.yml	false	false(unreach-call)	10.85818095	5.635777016999782	234.110976	244	605	638
reducercommutativity/rangesum20.yml	false	false(unreach-call)	14.664568441	7.537549992001004	351.596544	454	1025	1058
reducercommutativity/rangesum40.yml	false	false(unreach-call)	17.30953468	8.898142808999182	496.947200	874	1865	1898
reducercommutativity/rangesum60.yml	false	false(unreach-call)	22.020743242	11.439738832999865	612.786176	1294	2705	2738
reducercommutativity/sep05-1.yml	true	unknown	109.2933116	55.13990947300044	4250.796032	7353	15191	16536
reducercommutativity/sum.yml	true	unknown	9.073447681	4.709425867000391	197.644288	131	281	328
