tool		CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/2_run_with_artifacts/2_onlyequals/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	10.51955314	5.413464625002234	215.154688	101	151	187	unknown	9.910400658	5.083881173006375	213.295104	101	151	187	unknown	10.49937325	5.405988155995146	202.088448	101	151	187	unknown	9.84208095	5.063537669993821	216.272896	101	151	187	unknown	10.260900146	5.277569912999752	219.860992	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	9.753518359	5.161401546996785	251.875328	42	44	50	unknown	9.659388774	5.19278872499126	258.211840	42	44	50	unknown	8.831145521	4.713827077997848	246.489088	42	44	50	unknown	9.951338141	5.310958561007283	254.095360	42	44	50	unknown	9.656361939	5.133619256987004	254.644224	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	6.211927442	3.2358648990048096	146.448384	21	21	23	true	6.597719993	3.443920788995456	156.143616	21	21	23	true	6.409137143	3.366843976007658	160.284672	21	21	23	true	5.45112074	2.8393360979971476	146.321408	21	21	23	true	5.497829134	2.904167963992222	155.955200	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	7.608822493	3.9471562079997966	172.978176	22	23	26	unknown	6.424741096	3.366920113010565	175.316992	22	23	26	unknown	6.505301585	3.4467061609902885	171.515904	22	23	26	unknown	7.652602512	3.981568392002373	172.544000	22	23	26	unknown	8.006425323	4.167976518001524	173.867008	22	23	26
reducercommutativity/avg.yml	true	unknown	7.595253188	3.9601977989950683	183.197696	40	42	48	unknown	7.592478556	4.002523403993109	190.488576	40	42	48	unknown	8.851757011	4.587081591002061	189.063168	40	42	48	unknown	8.420828485	4.368803828008822	194.682880	40	42	48	unknown	7.247775873	3.805339250990073	194.850816	40	42	48
reducercommutativity/max.yml	true	unknown	11.55860674	5.973802481996245	237.051904	187	353	420	unknown	11.059005032	5.670829897993826	231.620608	187	353	420	unknown	13.534522164	6.926725573997828	242.057216	187	353	420	unknown	11.007284263	5.71398095501354	231.235584	187	353	420	unknown	11.249660684	5.8280611369991675	229.507072	187	353	420
reducercommutativity/max05-1.yml	true	unknown	11.198610071	5.820659595003235	222.703616	163	770	882	unknown	10.162301501	5.29194412099605	226.299904	163	770	882	unknown	10.345256861	5.3435740519926185	216.526848	163	770	882	unknown	10.706549052	5.49976058100583	228.040704	163	770	882	unknown	12.638580182	6.505542939994484	223.383552	163	770	882
reducercommutativity/max10-1.yml	true	unknown	11.7088724	6.010049055999843	238.358528	298	1040	1182	unknown	12.744066218	6.577887635008665	238.260224	298	1040	1182	unknown	11.966967196	6.139536971008056	239.366144	298	1040	1182	unknown	12.357262357	6.388332600996364	238.026752	298	1040	1182	unknown	12.877777883	6.6486195900070015	239.714304	298	1040	1182
