tool		CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/2_run_with_artifacts/2_onlyequals/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	10.51955314	5.413464625002234	215.154688	101	151	187
array-examples/sanfoundry_24-1.yml	true	unknown	9.753518359	5.161401546996785	251.875328	42	44	50
array-examples/sanfoundry_43_ground.yml	true	true	6.211927442	3.2358648990048096	146.448384	21	21	23
array-industry-pattern/array_shadowinit.yml	true	unknown	7.608822493	3.9471562079997966	172.978176	22	23	26
reducercommutativity/avg.yml	true	unknown	7.595253188	3.9601977989950683	183.197696	40	42	48
reducercommutativity/max.yml	true	unknown	11.55860674	5.973802481996245	237.051904	187	353	420
reducercommutativity/max05-1.yml	true	unknown	11.198610071	5.820659595003235	222.703616	163	770	882
reducercommutativity/max10-1.yml	true	unknown	11.7088724	6.010049055999843	238.358528	298	1040	1182
reducercommutativity/max20-1.yml	true	unknown	15.343274072	7.869824519002577	287.576064	568	1580	1782
reducercommutativity/max40-1.yml	true	unknown	21.793441022	11.170093451000866	393.494528	1108	2660	2982
reducercommutativity/max60-2.yml	true	unknown	26.306709443	13.651186852002866	539.160576	1648	3740	4182
reducercommutativity/rangesum05.yml	false	false(unreach-call)	10.736856443	5.538010565986042	241.463296	142	401	434
reducercommutativity/rangesum10.yml	false	false(unreach-call)	13.257145997	6.830101810992346	278.081536	244	605	638
reducercommutativity/rangesum20.yml	false	false(unreach-call)	16.734265894	8.615552311995998	347.705344	454	1025	1058
reducercommutativity/rangesum40.yml	false	false(unreach-call)	21.720910584	11.194573597007548	522.215424	874	1865	1898
reducercommutativity/rangesum60.yml	false	false(unreach-call)	25.991871297	13.404471618996467	745.177088	1294	2705	2738
reducercommutativity/sep05-1.yml	true	unknown	122.331540652	62.02865106599347	4213.260288	7353	15191	16536
