tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
eca-rers2012/Problem03_label06.yml	true	OUT OF MEMORY (true)	616.527465118	432.0941318090008	14999.998464				ERROR (1)	0.588368964	0.3493337160034571	33.165312			
eca-rers2012/Problem03_label08.yml	true	OUT OF MEMORY (true)	441.723634358	342.7237785549987	14999.998464				ERROR (1)	0.572503209	0.34379330099909566	29.384704			
eca-rers2012/Problem03_label10.yml	true	OUT OF MEMORY (true)	371.118442962	288.8126818060009	14999.998464				ERROR (1)	0.549777003	0.3199748949991772	31.621120			
eca-rers2012/Problem03_label38.yml	true	OUT OF MEMORY (true)	648.804342263	451.57883927700095	14999.998464				ERROR (1)	0.620359943	0.3661830530036241	32.190464			
eca-rers2012/Problem03_label40.yml	true	OUT OF MEMORY (true)	377.945996235	292.37372320400027	14999.998464				ERROR (1)	0.590318884	0.3545482780027669	34.291712			
eca-rers2012/Problem03_label42.yml	true	OUT OF MEMORY (true)	381.904169331	296.9902170890018	14999.998464				ERROR (1)	0.573615676	0.3529026709875325	33.177600			
eca-rers2012/Problem12_label20.yml	false	TIMEOUT (false(unreach-call))	722.343449544	582.5316863100052	14324.588544				false(unreach-call)	653.940572226	523.1469360589981	14337.470464			
eca-rers2012/Problem12_label50.yml	false	TIMEOUT (false(unreach-call))	802.690910843	596.8395538299956	13668.020224				ERROR (1)	0.546438842	0.32615242699102964	29.487104			
eca-rers2012/Problem12_label51.yml	false	TIMEOUT (false(unreach-call))	801.898349737	630.5761137559966	13715.255296				ERROR (1)	0.62679048	0.38026469699980225	29.732864			
eca-rers2012/Problem13_label16.yml	false	TIMEOUT	801.059609458	622.5811011740007	12692.013056				ERROR (1)	0.656649441	0.3791412010032218	29.425664			
eca-rers2012/Problem16_label01.yml	false	TIMEOUT	801.403315823	672.8196495610027	11684.167680				ERROR (1)	0.559882852	0.3442968169983942	32.354304			
eca-rers2012/Problem16_label04.yml	false	TIMEOUT (false(unreach-call))	802.59744715	663.1876989979974	13601.288192				ERROR (1)	0.593298706	0.3671470810077153	32.014336			
eca-rers2012/Problem16_label15.yml	false	TIMEOUT (false(unreach-call))	802.582643144	645.3561925829999	13559.504896				ERROR (1)	0.55865034	0.32641802600119263	31.797248			
eca-rers2012/Problem16_label33.yml	false	TIMEOUT	801.502720779	683.070623161002	11667.976192				ERROR (1)	0.576520121	0.34953407901048195	32.219136			
eca-rers2012/Problem16_label37.yml	false	TIMEOUT	801.115449243	679.0223346189996	11432.501248				ERROR (1)	0.612854307	0.36457109000184573	32.555008			
eca-rers2012/Problem16_label41.yml	false	TIMEOUT (false(unreach-call))	802.609310231	640.896294336002	13475.966976				ERROR (1)	0.52223016	0.30740711800171994	29.409280			
eca-rers2012/Problem16_label52.yml	false	TIMEOUT (false(unreach-call))	726.495649713	571.170269678998	14958.039040				false(unreach-call)	742.277461219	584.9212035490054	14952.148992			
eca-rers2012/Problem16_label54.yml	false	TIMEOUT (false(unreach-call))	802.420396522	654.0253112989994	13611.827200				ERROR (1)	0.560555987	0.3383374020049814	32.391168			
eca-rers2012/Problem18_label25.yml	false	TIMEOUT (false(unreach-call))	700.042468392	542.9660804470041	14621.769728				false(unreach-call)	681.020663652	529.9791305399995	14621.175808			
eca-rers2012/Problem18_label33.yml	false	TIMEOUT (false(unreach-call))	802.610535921	608.0800137709994	13571.624960				ERROR (1)	0.636802312	0.37759732799895573	32.763904			
eca-rers2012/Problem19_label29.yml	false	TIMEOUT	801.616126857	619.4831340849996	11885.281280				ERROR (1)	0.603267455	0.36466055100027006	32.931840			
loop-acceleration/array_1-2.yml	true	TIMEOUT (true)	801.694536187	787.6947175450005	918.540288				ERROR (1)	0.57104218	0.35594781501276884	31.723520			
loop-acceleration/const_1-1.yml	true	TIMEOUT (true)	765.926505741	754.1249913360007	1541.832704				true	768.574182112	756.157286968999	2330.730496			
product-lines/elevator_spec13_product21.cil.yml	true	OUT OF MEMORY	678.997383034	606.8313389530013	14999.998464				ERROR (1)	0.559037839	0.34668216499267146	29.921280			
product-lines/elevator_spec13_product29.cil.yml	true	OUT OF MEMORY	531.83116532	481.9061620950015	14999.998464				ERROR (1)	0.616462835	0.3840238980046706	31.969280			
product-lines/elevator_spec3_product03.cil.yml	false	TIMEOUT	705.051650294	621.5672170770013	14958.247936				OUT OF MEMORY	546.839676587	480.1555024940026	14999.998464			
product-lines/elevator_spec3_product19.cil.yml	false	OUT OF MEMORY	695.040210014	614.0002293020007	14999.998464				ERROR (1)	0.535377671	0.3306666319986107	29.200384			
product-lines/email_spec0_product16.cil.yml	false	TIMEOUT (false(unreach-call))	728.832589442	641.3344153910002	14999.998464				ERROR (1)	0.637800884	0.373871561998385	33.669120			
product-lines/email_spec11_product20.cil.yml	false	OUT OF MEMORY (false(unreach-call))	583.06844168	500.02235078300146	14999.998464				ERROR (1)	0.525485664	0.312774067002465	29.720576			
product-lines/email_spec11_product22.cil.yml	false	OUT OF MEMORY (false(unreach-call))	699.757760696	617.6341628299997	14999.998464				ERROR (1)	0.5276805	0.31879562299582176	29.048832			
product-lines/email_spec11_product30.cil.yml	false	OUT OF MEMORY (false(unreach-call))	382.162698748	325.1346642419994	14999.998464				ERROR (1)	0.540662667	0.3325838559976546	29.597696			
product-lines/email_spec11_product33.cil.yml	false	TIMEOUT (false(unreach-call))	731.255086916	636.857825269999	14999.998464				ERROR (1)	0.639596387	0.37883868400240317	32.649216			
product-lines/email_spec27_product13.cil.yml	true	OUT OF MEMORY	661.136723611	573.8985015149992	14999.998464				ERROR (1)	0.519611143	0.31285684600879904	28.913664			
product-lines/email_spec3_productSimulator.cil.yml	false	OUT OF MEMORY (false(unreach-call))	417.879401673	355.55889633300103	14999.998464				ERROR (1)	0.623694453	0.3778227889997652	34.050048			
product-lines/email_spec6_product12.cil.yml	false	OUT OF MEMORY (false(unreach-call))	375.715716158	322.84343109300244	14999.998464				ERROR (1)	0.590597227	0.34438797099574003	32.206848			
