tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-examples/relax-2.yml	true	unknown	9.697326377	5.014811428001849	216.829952				unknown	10.51955314	5.413464625002234	215.154688			
array-examples/sanfoundry_24-1.yml	true	unknown	12.400365504	6.505465116999403	259.608576				unknown	9.753518359	5.161401546996785	251.875328			
array-examples/sanfoundry_43_ground.yml	true	true	5.165890856	2.677269632997195	144.982016				true	6.211927442	3.2358648990048096	146.448384			
array-industry-pattern/array_shadowinit.yml	true	unknown	6.135138348	3.201995008999802	168.935424				unknown	7.608822493	3.9471562079997966	172.978176			
reducercommutativity/avg.yml	true	unknown	7.340291612	3.8033211279980605	185.057280				unknown	7.595253188	3.9601977989950683	183.197696			
reducercommutativity/max.yml	true	unknown	11.35039984	5.828081856001518	230.760448				unknown	11.55860674	5.973802481996245	237.051904			
reducercommutativity/max05-1.yml	true	unknown	12.056213974	6.212005299999873	230.465536				unknown	11.198610071	5.820659595003235	222.703616			
reducercommutativity/max10-1.yml	true	unknown	11.308177784	5.833885404001194	241.418240				unknown	11.7088724	6.010049055999843	238.358528			
reducercommutativity/max20-1.yml	true	unknown	14.952494701	7.706507776001672	302.612480				unknown	15.343274072	7.869824519002577	287.576064			
reducercommutativity/max40-1.yml	true	unknown	21.844244475	11.140643017999537	457.031680				unknown	21.793441022	11.170093451000866	393.494528			
reducercommutativity/max60-2.yml	true	unknown	28.56355163	14.75143599600051	520.597504				unknown	26.306709443	13.651186852002866	539.160576			
reducercommutativity/rangesum05.yml	false	false(unreach-call)	9.701924695	5.000051297000027	230.019072				false(unreach-call)	10.736856443	5.538010565986042	241.463296			
reducercommutativity/rangesum10.yml	false	false(unreach-call)	13.402774745	6.874244414000714	278.138880				false(unreach-call)	13.257145997	6.830101810992346	278.081536			
reducercommutativity/rangesum20.yml	false	false(unreach-call)	18.338624347	9.472435095998662	357.826560				false(unreach-call)	16.734265894	8.615552311995998	347.705344			
reducercommutativity/rangesum40.yml	false	false(unreach-call)	20.480665824	10.470581936999224	513.732608				false(unreach-call)	21.720910584	11.194573597007548	522.215424			
reducercommutativity/rangesum60.yml	false	false(unreach-call)	26.1781176	13.583565445998829	679.198720				false(unreach-call)	25.991871297	13.404471618996467	745.177088			
reducercommutativity/sep05-1.yml	true	unknown	129.072749172	65.27603511000052	4737.110016				unknown	122.331540652	62.02865106599347	4213.260288			
reducercommutativity/sum.yml	true	unknown	11.777749139	6.061914365000121	228.245504				unknown	11.255602354	5.801943876998848	234.745856			
array-tiling/mbpr2.yml	true	unknown	6.761825441	3.5396382190010627	177.979392				unknown	8.014356966	4.170761524990667	183.369728			
array-tiling/mbpr3.yml	true	unknown	7.052766719	3.678463208998437	207.495168				unknown	7.528116758	3.9272593450004933	196.935680			
array-tiling/mbpr4.yml	true	unknown	6.900246558	3.5823164189969248	179.798016				unknown	7.930173154	4.114790134990471	196.435968			
array-tiling/mbpr5.yml	true	unknown	7.401793129	3.8544483420009783	203.243520				unknown	7.932240748	4.121072538997396	202.506240			
array-tiling/mlceu.yml	false	unknown	6.64655653	3.4501065600015863	173.703168				unknown	6.573957254	3.4247205410065362	177.291264			
array-tiling/mlceu2.yml	true	unknown	6.342889882	3.3088217100012116	173.199360				unknown	6.36565473	3.319740350008942	171.044864			
array-tiling/nr2.yml	true	unknown	8.09420762	4.209291929997562	176.037888				unknown	7.144436068	3.7139190080051776	180.826112			
array-tiling/nr3.yml	true	unknown	6.597870679	3.4728486359999806	201.449472				unknown	7.232322984	3.84385098599887	190.337024			
array-tiling/nr4.yml	true	unknown	6.94466595	3.624452869997185	173.637632				unknown	7.068623294	3.6793940649949946	179.470336			
array-tiling/nr5.yml	true	unknown	7.216675718	3.7469766559988784	186.843136				unknown	6.743268499	3.522242955994443	186.163200			
array-tiling/pnr2.yml	true	unknown	6.631528606	3.445124283000041	182.849536				unknown	6.75897133	3.5541665260097943	180.649984			
array-tiling/pnr3.yml	true	unknown	6.881571566	3.607958417000191	188.526592				unknown	6.987923389	3.6444876650057267	190.570496			
array-tiling/pnr4.yml	true	unknown	7.001850952	3.6422953170003893	180.088832				unknown	6.835507871	3.5572290039999643	179.740672			
array-tiling/pnr5.yml	true	unknown	6.801366284	3.5471381040006236	191.078400				unknown	7.490514676	3.9060678699897835	189.861888			
array-tiling/poly1.yml	true	unknown	6.405242088	3.3399061640011496	179.949568				unknown	6.456335552	3.390321390994359	173.944832			
array-tiling/poly2.yml	true	unknown	6.633316078	3.4542161480021605	173.735936				unknown	7.043181058	3.6952533459989354	179.355648			
array-tiling/pr2.yml	true	unknown	6.41252871	3.3570321869992767	180.187136				unknown	7.347389282	3.8507855190109694	184.524800			
array-tiling/pr3.yml	true	unknown	8.357637505	4.360814285999368	192.204800				unknown	7.319479216	3.7997480030026054	201.019392			
array-tiling/pr4.yml	true	unknown	6.789876691	3.520976490999601	182.636544				unknown	7.290260686	3.8091936749988236	184.979456			
array-tiling/pr5.yml	true	unknown	7.085890321	3.710441630999412	188.080128				unknown	7.127030222	3.7048952379991533	193.871872			
array-tiling/revcpyswp2.yml	true	unknown	7.792881893	4.037523478000367	181.403648				unknown	7.3862057	3.8859239209996304	177.446912			
array-tiling/rew.yml	true	unknown	6.505817278	3.364517613001226	175.435776				unknown	6.377485901	3.3398570340068545	172.969984			
array-tiling/rewnif.yml	true	unknown	6.887990655	3.566522429999168	173.756416				unknown	7.814080194	4.0710652279958595	172.507136			
array-tiling/rewnifrev.yml	true	unknown	6.26002064	3.243386810998345	176.271360				unknown	6.933611113	3.622375776991248	177.442816			
array-tiling/rewnifrev2.yml	true	unknown	6.255410823	3.334015903998079	175.423488				unknown	7.022447953	3.670195155995316	180.465664			
array-tiling/rewrev.yml	true	unknown	8.159939403	4.222239662998618	174.026752				unknown	6.71509752	3.493869612007984	171.675648			
array-tiling/skipped.yml	true	unknown	6.844649062	3.594291091998457	179.212288				unknown	7.166869081	3.722113049996551	177.528832			
